date,signal_date,signal_lag_days,confidence,trailing_ic_mean,matured_ic_count,dynamic_l1_limit,dynamic_active_share_limit,dynamic_turnover_limit,enforce_alpha_directionality,negative_signal_ow_before,negative_signal_ow_after,target_turnover,candidate_turnover,executed_turnover,projection_turnover_before_cap,turnover_cap_scale,signal_scale,ema_alpha,projection_status,constraint_violation,turnover_excess,fallback_used,weight_sum,min_weight,max_weight_actual,active_l1,allocated_active_budget,raw_target_active_share,target_active_share,executed_active_share,tradable_name_count,non_tradable_portfolio_weight,non_tradable_benchmark_weight,tradable_weight_sum_error,tradable_benchmark_sum_error
2022-01-17,2022-01-14,1,1.0,0.049414116349600225,6,0.36,0.18,0.1,1,0,0,0.27841405018379556,0.06593809582660662,0.07276251426368208,0.07273829189717437,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.12605977960688672,0.2172843535543248,0.18,0.17999999999999997,0.17999999999999994,0.1086421767771624,64,0.0,0.0,0.0,1.1102230246251565e-16
2022-02-15,2022-02-14,1,1.0,0.04285812753554689,6,0.36,0.18,0.1,1,0,0,0.3025263479874346,0.0691873563181882,0.10007350808621304,0.10016377572485385,0.9983649206145769,,0.8,projected|turnover_capped,hard_rule_turnover_override,7.350808621303662e-05,0,1.0,0.0,0.13157047138148273,0.1950846758821766,0.18,0.17999999999999997,0.17999999999999997,0.0975423379410883,64,0.0,0.0,0.0,0.0
2022-03-16,2022-03-15,1,1.0,0.032898351648351636,6,0.36,0.18,0.1,1,0,0,0.21883328726189794,0.041317509916500066,0.040926114318598036,0.040928428430473646,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.12817340231918936,0.21191380315671396,0.18,0.17999999999999994,0.1799999999999999,0.10595690157835698,64,0.0,0.0,2.220446049250313e-16,0.0
2022-04-14,2022-04-13,1,0.8740460927960924,0.024961843711843696,6,0.33480921855921847,0.16740460927960923,0.09118322649572647,1,0,0,0.21357819327046978,0.040530355673803115,0.0406923585722613,0.040673004259559414,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13356344970598252,0.21785956200486994,0.16740460927960923,0.1674046092796092,0.1674046092796092,0.10892978100243497,64,0.0,0.0,0.0,0.0
2022-05-13,2022-05-12,1,1.0,0.06501831501831501,6,0.36,0.18,0.1,1,0,0,0.24183629876117363,0.059616493957463684,0.0626320295018826,0.06250010464944009,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13026637277514408,0.24074010206034946,0.18,0.17999999999999997,0.17999999999999997,0.12037005103017473,64,0.0,0.0,0.0,0.0
2022-06-13,2022-06-10,1,1.0,0.08557692307692306,6,0.36,0.18,0.1,1,0,0,0.2568257722870857,0.05401805431692502,0.061634146368439446,0.06152596699863726,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.12646514691806196,0.24514077534025314,0.18,0.1799999999999999,0.1799999999999999,0.12257038767012657,64,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
2022-07-12,2022-07-11,1,1.0,0.04754273504273504,6,0.36,0.18,0.1,1,0,0,0.2738253187805241,0.06565092920041304,0.08125842296469792,0.08089160591059621,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13476819037370058,0.256457816645495,0.18,0.17999999999999994,0.17999999999999994,0.1282289083227475,64,0.0,0.0,2.220446049250313e-16,0.0
2022-08-10,2022-08-09,1,1.0,0.0316468253968254,6,0.36,0.18,0.1,1,0,0,0.23307584729936673,0.045654845784523466,0.049770578653538046,0.049752915591848176,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.139378684711742,0.26089321842838,0.18,0.1799999999999999,0.1799999999999999,0.13044660921419,64,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
2022-09-08,2022-09-07,1,1.0,0.031433150183150176,6,0.36,0.18,0.1,1,0,0,0.21458482371119,0.03516027323352688,0.0354127757401128,0.03531269873910499,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13575757104463637,0.2823363024356307,0.18,0.18,0.17999999999999997,0.14116815121781534,64,0.0,0.0,0.0,0.0
2022-10-07,2022-10-06,1,1.0,0.031456043956043955,6,0.36,0.18,0.1,1,0,0,0.26673017033483065,0.05832369664568931,0.06392575971146842,0.06382425563234564,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.1361788661318983,0.2784361131206112,0.18,0.18,0.18,0.1392180565603056,64,0.0,0.0,0.0,0.0
